target_id,symbol,name,score
ENSG00000112541,PDE10A,phosphodiesterase 10A,0.07391597093694036
ENSG00000169432,SCN9A,sodium voltage-gated channel alpha subunit 9,0.07391597093694036
ENSG00000073417,PDE8A,phosphodiesterase 8A,0.07391597093694036
ENSG00000168356,SCN11A,sodium voltage-gated channel alpha subunit 11,0.07391597093694036
ENSG00000171408,PDE7B,phosphodiesterase 7B,0.07391597093694036
ENSG00000123360,PDE1B,phosphodiesterase 1B,0.07391597093694036
ENSG00000105650,PDE4C,phosphodiesterase 4C,0.07391597093694036
ENSG00000184588,PDE4B,phosphodiesterase 4B,0.07391597093694036
ENSG00000154678,PDE1C,phosphodiesterase 1C,0.07391597093694036
ENSG00000113448,PDE4D,phosphodiesterase 4D,0.07391597093694036
ENSG00000139053,PDE6H,phosphodiesterase 6H,0.07391597093694036
ENSG00000132915,PDE6A,phosphodiesterase 6A,0.07391597093694036
ENSG00000186642,PDE2A,phosphodiesterase 2A,0.07391597093694036
ENSG00000173198,CYSLTR1,cysteinyl leukotriene receptor 1,0.07391597093694036
ENSG00000073417,PDE8A,phosphodiesterase 8A,0.07391597093694036
ENSG00000153956,CACNA2D1,calcium voltage-gated channel auxiliary subunit alpha2delta 1,0.07391597093694036
ENSG00000112541,PDE10A,phosphodiesterase 10A,0.07391597093694036
ENSG00000172572,PDE3A,phosphodiesterase 3A,0.07391597093694036
ENSG00000123360,PDE1B,phosphodiesterase 1B,0.07391597093694036
ENSG00000133256,PDE6B,phosphodiesterase 6B,0.07391597093694036
ENSG00000105650,PDE4C,phosphodiesterase 4C,0.07391597093694036
ENSG00000113749,HRH2,histamine receptor H2,0.07391597093694036
ENSG00000156973,PDE6D,phosphodiesterase 6D,0.07391597093694036
ENSG00000159164,SV2A,synaptic vesicle glycoprotein 2A,0.07391597093694036
ENSG00000169432,SCN9A,sodium voltage-gated channel alpha subunit 9,0.07391597093694036
ENSG00000007314,SCN4A,sodium voltage-gated channel alpha subunit 4,0.07391597093694036
ENSG00000065989,PDE4A,phosphodiesterase 4A,0.07391597093694036
ENSG00000113448,PDE4D,phosphodiesterase 4D,0.07391597093694036
ENSG00000112759,SLC29A1,solute carrier family 29 member 1 (Augustine blood group),0.07391597093694036
ENSG00000183873,SCN5A,sodium voltage-gated channel alpha subunit 5,0.07391597093694036
ENSG00000188316,ENO4,enolase 4,0.06733125438108661
ENSG00000163554,SPTA1,"spectrin alpha, erythrocytic 1",0.06732387863717651
ENSG00000029534,ANK1,ankyrin 1,0.06717349811044768
ENSG00000232810,TNF,tumor necrosis factor,0.06500867925919603
ENSG00000070182,SPTB,"spectrin beta, erythrocytic",0.06034866983280797
ENSG00000113721,PDGFRB,platelet derived growth factor receptor beta,0.0573607183421422
ENSG00000134184,GSTM1,glutathione S-transferase mu 1,0.05537815752118756
ENSG00000169877,AHSP,alpha hemoglobin stabilizing protein,0.055215897586854294
ENSG00000066926,FECH,ferrochelatase,0.05451092401404322
ENSG00000075340,ADD2,adducin 2,0.05434019865339305
ENSG00000185989,RASA3,RAS p21 protein activator 3,0.05425842911054405
ENSG00000111725,PRKAB1,protein kinase AMP-activated non-catalytic subunit beta 1,0.05414036887918644
ENSG00000090659,CD209,CD209 molecule,0.05402025542641391
